Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-4482-5p	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1
miR-4484	5	2	10	2	2	3	17	1	NA	3	3	2	1	8	20
miR-4494	1	NA	NA	1	NA	4	NA	NA	1	1	1	3	NA	1	NA
miR-449c-3p	1	NA	NA	3	NA	NA	1	NA	NA	NA	2	1	NA	NA	NA
miR-450a-5p	10	13	2	7	29	5	NA	8	NA	10	NA	NA	2	3	1
miR-450b-5p	4	22	3	6	27	2	NA	7	NA	10	1	NA	1	NA	5
miR-451a	961	4064	17	658	8406	431	25	2001	53	2019	155	90	393	943	88
miR-452-5p	2	9	2	3	24	2	2	3	1	5	NA	1	NA	2	2
miR-4524a-5p	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
miR-4528	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-454-3p	6	26	5	20	35	7	4	13	8	25	34	29	6	22	20
miR-455-3p	4	2	8	4	14	5	10	6	1	6	8	8	4	3	27
miR-4652-3p	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA
miR-4659a-3p	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4659b-3p	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4660	1	NA	NA	2	NA	NA	1	NA	NA	1	NA	2	1	NA	NA
miR-4662a-5p	1	2	3	3	2	1	1	2	NA	1	1	2	5	1	12
miR-4663	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4677-3p	1	NA	1	1	NA	1	2	NA	3	NA	1	1	NA	NA	3
